站点名称,,链接
东南网,首页,http://www.fjsen.com/
东南网,财经频道,http://money.fjsen.com/money.htm
东南网,银行,http://money.fjsen.com/node_99104.htm
东南网,福建财经新闻,http://money.fjsen.com/node_162527.htm
东南网,经济要闻,http://money.fjsen.com/HotFinance.htm
东南网,直通屏山,http://www.fjsen.com/ztps/lylb.htm
东南网,福州频道,http://fz.fjsen.com/
东南网,福州/民生,http://fz.fjsen.com/fjfz05.htm
东南网,福州/政经,http://fz.fjsen.com/fjfz01.htm
东南网,福州/社会,http://fz.fjsen.com/fjfz02.htm
东南网,龙岩频道,http://ly.fjsen.com/index.htm
东南网,龙岩/经济,http://ly.fjsen.com/node_147099.htm
东南网,龙岩/龙岩各地,http://ly.fjsen.com/node_142606.htm
东南网,龙岩/本网原创,http://ly.fjsen.com/node_147105.htm
东南网,龙岩/要闻,http://ly.fjsen.com/node_147078.htm
东南网,龙岩/生活,http://ly.fjsen.com/node_142602.htm
东南网,龙岩/县市区新闻联播,http://ly.fjsen.com/node_142605.htm
东南网,漳州频道,http://zz.fjsen.com/
东南网,漳州/邮储,http://zz.fjsen.com/node_140186.htm
东南网,漳州/银行动态,http://zz.fjnet.cn/node_161063.htm
东南网,漳州/财经,http://zz.fjsen.com/node_139559.htm
东南网,漳州/本网原创,http://zz.fjsen.com/node_139539.htm
东南网,南平频道,http://np.fjsen.com/
东南网,南平/邮储,http://np.fjsen.com/node_153906.htm
东南网,南平/财经,http://np.fjsen.com/node_153775.htm
东南网,南平/本网原创,http://np.fjsen.com/node_139989.htm
东南网,南平/南平民生,http://np.fjsen.com/node_142558.htm
东南网,南平/舆情,http://np.fjsen.com/node_153912.htm
东南网,莆田频道,http://pt.fjsen.com/
东南网,行业资讯/莆田邮储,http://pt.fjsen.com/xw/node_155793.htm
东南网,三明频道,http://sm.fjsen.com/index.htm
东南网,三明/本网原创,http://sm.fjsen.com/node_150155.htm
东南网,三明/邮储,http://sm.fjsen.com/node_162557.htm
东南网,泉州频道,http://qz.fjsen.com/index.htm
东南网,泉州/金融理财,http://qz.fjsen.com/node_154265.htm
东南网,泉州/银行,http://qz.fjsen.com/node_154270.htm
东南网,泉州/本文原创,http://qz.fjsen.com/node_118872.htm
东南网,泉州/要闻时政,http://qz.fjsen.com/node_124439.htm
东南网,泉州/综合频道,http://qz.fjsen.com/node_100589.htm
东南网,泉州/综合/理财,http://qz.fjsen.com/node_153510.htm
东南网,宁德频道,http://nd.fjsen.com/
东南网,宁德/邮储,http://nd.fjsen.com/node_106744.htm
东南网,宁德/新闻,http://nd.fjsen.com/node_100367.htm
东南网,福清频道,http://fq.fjsen.com/
东南网,福清/社会民生,http://fq.fjsen.com/node_139447.htm
东南网,福清/要闻,http://fq.fjsen.com/node_139438.htm
东南网,福清/视频,http://fq.fjsen.com/node_139443.htm
东南网,福清/侨乡,http://fq.fjsen.com/node_149320.htm
东南网,福清/政务,http://fq.fjsen.com/node_139446.htm
东南网,平潭频道,http://fjnews.fjsen.com/pingtan.htm
